C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
1;15;158;Autres provisions pour charges;158C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020030;Autres provisions pour charges
1;16;161;Emprunts obligataires (assorties de sûretés);161D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020011;Emprunts obligataires (assortis de sûretés)
1;16;161;Emprunts obligataires (assorties de sûretés);161C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020011;Emprunts obligataires (assortis de sûretés)
1;16;162;Emprunts auprès des établissements financiers (assorties de sûretés);162D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020012;Empts auprès d'étab.Fin. (assortis de sûretés)
1;16;162;Emprunts auprès des établissements financiers (assorties de sûretés);162C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020012;Empts auprès d'étab.Fin. (assortis de sûretés)
1;16;163;Emprunts auprès d'autres établissements financiers (assorties de sûretés);163D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020013;Empts auprès d'étab.Fin. (assorti de sûretés)
1;16;163;Emprunts auprès d'autres établissements financiers (assorties de sûretés);163C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020013;Empts auprès d'étab.Fin. (assorti de sûretés)
1;16;164;Emprunts et dettes assorties de conditions particulières;164D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020014;Empts et dettes assorties de condit. particuliéres
1;16;164;Emprunts et dettes assorties de conditions particulières;164C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020014;Empts et dettes assorties de condit. particuliéres
1;16;165;Emprunts non assorties de sûretés (à subdiviser selon l'ordre des comptes des emprunts);165D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020015;Emprunts non assortis de sûretés
